   Player_Details,Weight,Age,Salary
Kevin Garnett Minnesota Timberwolves  PF,240,40,8500000
Tyus Jones Minnesota Timberwolves Duke PG,195,20,1282080
Zach LaVine Minnesota Timberwolves UCLA PG,189,21,2148360
Shabazz Muhammad Minnesota Timberwolves UCLA SF,223,23,2056920
Adreian Payne Minnesota Timberwolves Michigan State PF,237,25,1938840
Nikola Pekovic Minnesota Timberwolves  C,307,30,12100000
Tayshaun Prince Minnesota Timberwolves Kentucky SF,212,36,947276
Ricky Rubio Minnesota Timberwolves  PG,194,25,12700000
Damjan Rudez Minnesota Timberwolves  SF,230,29,1149500
Greg Smith Minnesota Timberwolves Fresno State PF,250,25,
Karl-Anthony Towns Minnesota Timberwolves Kentucky C,244,20,5703600
Andrew Wiggins Minnesota Timberwolves Kansas SG,199,21,5758680
Steven Adams Oklahoma City Thunder Pittsburgh C,255,22,2279040
Nick Collison Oklahoma City Thunder Kansas PF,255,35,3750000
Kevin Durant Oklahoma City Thunder Texas SF,240,27,20158622
Randy Foye Oklahoma City Thunder Villanova SG,213,32,3135000
Josh Huestis Oklahoma City Thunder Stanford SF,230,24,1140240
Serge Ibaka Oklahoma City Thunder  PF,245,26,12250000
Enes Kanter Oklahoma City Thunder Kentucky C,245,24,16407500
Mitch McGary Oklahoma City Thunder Michigan PF,255,24,1463040
Nazr Mohammed Oklahoma City Thunder Kentucky C,250,38,222888
Anthony Morrow Oklahoma City Thunder Georgia Tech SG,210,30,3344000
Cameron Payne Oklahoma City Thunder Murray State PG,185,21,2021520
Andre Roberson Oklahoma City Thunder Colorado SG,210,24,1210800
Kyle Singler Oklahoma City Thunder Duke SF,228,28,4500000
Dion Waiters Oklahoma City Thunder Syracuse SG,220,24,5138430
Russell Westbrook Oklahoma City Thunder UCLA PG,200,27,16744218
Cliff Alexander Portland Trail Blazers Kansas PF,240,20,525093
Al-Farouq Aminu Portland Trail Blazers Wake Forest SF,215,25,8042895
Pat Connaughton Portland Trail Blazers Notre Dame SG,206,23,625093
Allen Crabbe Portland Trail Blazers California SG,210,24,947276
Ed Davis Portland Trail Blazers North Carolina C,240,27,6980802
Maurice Harkless Portland Trail Blazers St. John's SF,215,23,2894059
Gerald Henderson Portland Trail Blazers Duke SG,215,28,6000000
Chris Kaman Portland Trail Blazers Central Michigan C,265,34,5016000
Meyers Leonard Portland Trail Blazers Illinois PF,245,24,3075880
Damian Lillard Portland Trail Blazers Weber State PG,195,25,4236287
C.J. McCollum Portland Trail Blazers Lehigh SG,200,24,2525160
Luis Montero Portland Trail Blazers Westchester CC SG,185,23,525093
Mason Plumlee Portland Trail Blazers Duke C,235,26,1415520
Brian Roberts Portland Trail Blazers Dayton PG,173,30,2854940
Noah Vonleh Portland Trail Blazers Indiana PF,240,20,2637720
Trevor Booker Utah Jazz Clemson PF,228,28,4775000
Trey Burke Utah Jazz Michigan PG,191,23,2658240
Alec Burks Utah Jazz Colorado SG,214,24,9463484
Dante Exum Utah Jazz  PG,190,20,3777720
Derrick Favors Utah Jazz Georgia Tech PF,265,24,12000000
Rudy Gobert Utah Jazz  C,245,23,1175880
Gordon Hayward Utah Jazz Butler SF,226,26,15409570
Rodney Hood Utah Jazz Duke SG,206,23,1348440
Joe Ingles Utah Jazz  SF,226,28,2050000
Chris Johnson Utah Jazz Dayton SF,206,26,981348
